date,gross_ret,net_ret,turnover,longs,shorts,source,rationale
2025-04-24,-0.0012830246902522074,-0.001758692809414536,0.23783405958116427,IBM|JNJ|VZ|AMGN|PG,DIS|NKE|AMZN|CAT|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-25,0.014402470844097893,0.013181328987423812,0.6105709283370403,IBM|JNJ|PG|KO|VZ,CRM|NVDA|AMZN|CAT|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-28,0.0007185187603854209,0.000280243144131301,0.21913780812705994,IBM|JNJ|KO|VZ|PG,DOW|AXP|CRM|AMZN|CAT,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-29,0.010474964027108865,0.01004897992897247,0.21299204906819813,IBM|JNJ|PG|KO|VZ,NVDA|CRM|AMZN|CAT|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-04-30,-0.019948620626254795,-0.020746994916525895,0.39918714513555054,IBM|JNJ|PG|KO|MCD,MRK|AMZN|CRM|CAT|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-01,-0.0009166129805742388,-0.002188797425659363,0.636092222542562,JNJ|MCD|KO|TRV|VZ,NVDA|CAT|MRK|DOW|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-02,0.00657188611435706,0.004569697032025822,1.0010945411656187,JNJ|MCD|KO|AMGN|PG,CRM|AMZN|NKE|AXP|CAT,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-05,-0.0007331954774784794,-0.0015359396978665675,0.40137211019404406,JNJ|MCD|KO|AMGN|TRV,AMZN|DIS|CRM|CAT|AXP,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-06,-0.017686815159196224,-0.017885636572291388,0.09941070654758138,KO|JNJ|MCD|AMGN|TRV,AMZN|DIS|CAT|AXP|CRM,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-07,-0.022158184319759036,-0.02323100928584899,0.536412483044977,KO|VZ|MCD|JNJ|TRV,CAT|AXP|CRM|NKE|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-08,-0.00041584030961952035,-0.0008394727355808245,0.21181621298065206,KO|VZ|MCD|JNJ|MSFT,CAT|CRM|AXP|AMZN|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-09,-0.06492793152841354,-0.06619387159146049,0.632970031523475,KO|VZ|MSFT|JNJ|TRV,DIS|NKE|NVDA|AXP|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-12,-0.01602187485175394,-0.017305028197740404,0.6415766729932313,MSFT|TRV|KO|VZ|IBM,AAPL|NVDA|NKE|AMZN|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-13,0.007607699120784851,0.006860823799613907,0.3734376605854722,TRV|VZ|KO|MSFT|V,HD|AAPL|DOW|NKE|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-14,0.03104815309912911,0.03037831912582825,0.3349169866504291,TRV|VZ|KO|MSFT|HON,CRM|NKE|DOW|AAPL|AMZN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-15,0.0032358208547883264,0.0030342245511048873,0.10079815184171963,TRV|VZ|MSFT|KO|HON,CRM|DOW|NKE|AMZN|AAPL,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-16,0.013206344147760616,0.012545250667479942,0.3305467401403372,TRV|VZ|MSFT|KO|MCD,CRM|NVDA|AMZN|AAPL|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-19,0.005888079989939885,0.004471816230231424,0.7081318798542303,TRV|MSFT|BA|VZ|JNJ,CRM|AAPL|NKE|NVDA|GS,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-20,0.00943157775890189,0.006799534430841639,1.3160216640301252,CAT|BA|MSFT|AXP|TRV,JNJ|MRK|AMGN|NVDA|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-21,0.00441916852095779,0.002949816700564772,0.7346759101965089,BA|CAT|MSFT|DIS|JPM,CSCO|JNJ|UNH|AMGN|MRK,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-22,0.00021279008500325316,-0.0009047318719762492,0.5587609784897511,BA|JPM|TRV|AXP|CAT,NKE|AMGN|JNJ|UNH|MRK,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-23,0.01146924096172573,0.010306772865655133,0.5812340480352985,CAT|AXP|NVDA|V|BA,CVX|JNJ|AMGN|UNH|MRK,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-27,0.00927680502421559,0.007811170987240793,0.732817018487399,BA|V|IBM|MMM|AXP,CVX|JNJ|AMGN|MRK|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-28,0.0014768013247884824,0.00023849814440147577,0.6191515901935033,BA|IBM|MMM|MCD|VZ,AMZN|JNJ|CVX|NKE|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-29,0.007957426339984496,0.0060059358745425066,0.9757452327209946,IBM|MSFT|VZ|TRV|KO,UNH|DOW|CVX|AMGN|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-05-30,0.005756301311530725,0.003629970297785899,1.063165506872413,MSFT|IBM|MCD|BA|CSCO,AAPL|CVX|JNJ|AMGN|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-02,0.0005880855947168421,-0.0016173323837256697,1.1027089892212558,CAT|MCD|KO|GS|TRV,JNJ|AMGN|NKE|AAPL|UNH,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-03,0.0026330077562229503,0.0016743300628067964,0.47933884670807697,GS|CAT|TRV|MSFT|KO,JNJ|CVX|AAPL|UNH|AMGN,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-04,0.00326493666127047,0.0015045623644819597,0.8801871483942553,TRV|GS|JPM|CAT|KO,AAPL|AMGN|NKE|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-05,-0.00023085735272032788,-0.0011995150456893732,0.4843288464845226,JPM|TRV|BA|NVDA|CAT,DOW|AAPL|AMGN|MRK|NKE,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-06,0.00013978795025556537,-0.0011419247015793373,0.6408563259174513,WMT|JPM|TRV|BA|KO,CVX|AAPL|MRK|NKE|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-09,-0.0299338414664413,-0.031154034103749704,0.610096318654201,WMT|JPM|TRV|MSFT|AXP,NKE|UNH|CVX|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-10,-0.0076127455026720765,-0.008688654088476685,0.5379542929023041,WMT|AXP|BA|JPM|NVDA,CVX|NKE|UNH|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-11,-0.017642339313549256,-0.01818538967618617,0.2715251813184561,WMT|NVDA|BA|AXP|JPM,AMGN|CVX|UNH|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-12,-0.010748601912826578,-0.011326320933114094,0.2888595101437575,BA|WMT|AXP|JPM|MSFT,AMGN|CVX|UNH|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-13,0.010491969221041198,0.009498902123130315,0.49653354895544155,BA|AXP|WMT|V|CSCO,JNJ|CVX|UNH|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-16,0.010868846945391638,0.010230800215314556,0.3190233650385409,BA|AXP|WMT|V|AMZN,AMGN|CVX|UNH|MRK|DOW,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-17,-0.008349051954263007,-0.009037278111281763,0.3441130785093781,BA|WMT|AXP|V|AMZN,MMM|MRK|AMGN|UNH|CVX,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-18,-0.00014439991372412536,-0.001428650705013128,0.6421253956445013,BA|DIS|V|AXP|KO,AMGN|AAPL|MRK|UNH|CVX,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-20,0.008599946054429973,0.007222492856407153,0.6887265990114102,BA|V|NVDA|MSFT|DIS,UNH|MRK|MMM|AAPL|CVX,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-23,0.012223689710797334,0.010839046241707166,0.692321734545084,DIS|AMZN|MSFT|V|NVDA,NKE|MMM|CVX|CRM|AAPL,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
2025-06-24,0.01354815540409184,0.012280410353270129,0.6338725254108564,DIS|BA|AMZN|MSFT|NVDA,MRK|UNH|AAPL|MMM|CRM,rule,"Rank-and-size: long top 5, short bottom 5, weighted by confidence x |score-50|."
